Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
8447930,"Woods Hole, MA",1932,2018,87,0.9576,2.88,0.17,0.95,0.06,41.5236,-70.6711
8449130,"Nantucket Island, MA",1965,2018,54,0.9877,3.68,0.34,1.21,0.11,41.2853,-70.0964
8452660,"Newport, RI",1930,2018,89,0.9906,2.77,0.16,0.91,0.05,41.505,-71.3267
8454000,"Providence, RI",1938,2018,81,0.8696,2.27,0.24,0.74,0.08,41.8067,-71.4006
8461490,"New London, CT",1938,2018,81,0.9793,2.65,0.21,0.87,0.07,41.355,-72.0867
8467150,"Bridgeport, CT",1964,2018,55,0.98,2.93,0.41,0.96,0.13,41.1758,-73.184
8510560,"Montauk, NY",1947,2018,72,0.9462,3.32,0.26,1.09,0.08,41.0483,-71.9594
8514560,"Port Jefferson, NY",1957,1992,36,0.98,2.44,0.76,0.8,0.25,40.95,-73.0767
8516945,"Kings Point, NY",1931,2018,88,0.999,2.54,0.2,0.83,0.07,40.8103,-73.765
8518750,"The Battery, NY",1856,2018,163,0.9054,2.85,0.09,0.94,0.03,40.7006,-74.0142
8519483,"Bergen Point, NY",1981,2018,38,0.9508,4.3,0.77,1.41,0.25,40.6367,-74.1417
8531680,"Sandy Hook, NJ",1932,2018,87,0.9971,4.09,0.2,1.34,0.07,40.4669,-74.0094
8534720,"Atlantic City, NJ",1911,2018,108,0.962,4.09,0.15,1.34,0.05,39.355,-74.4183
8536110,"Cape May, NJ",1965,2018,54,0.9231,4.63,0.5,1.52,0.16,38.9678,-74.9597
8545240,"Philadelphia, PA",1900,2018,119,0.974,2.98,0.19,0.98,0.06,39.9333,-75.1417
8551910,"Reedy Point, DE",1956,2018,63,0.7587,3.6,0.47,1.18,0.15,39.5583,-75.5733
8557380,"Lewes, DE",1919,2018,100,0.7698,3.48,0.23,1.14,0.08,38.7828,-75.1192
8570283,"Ocean City, MD",1975,2018,44,0.7036,5.71,0.83,1.87,0.27,38.3283,-75.0917
8571892,"Cambridge, MD",1943,2018,76,0.7368,3.77,0.31,1.24,0.1,38.5742,-76.0722
8573364,"Tolchester Beach, MD",1971,2018,48,0.5632,3.29,0.95,1.08,0.31,39.2133,-76.245
8573927,"Chesapeake City, MD",1972,2018,47,0.5624,3.95,0.68,1.3,0.22,39.5267,-75.81
8574680,"Baltimore, MD",1902,2018,117,0.9993,3.17,0.13,1.04,0.04,39.2667,-76.5783
8575512,"Annapolis, MD",1928,2018,91,0.9843,3.61,0.2,1.19,0.07,38.9833,-76.4816
8577330,"Solomons Island, MD",1937,2018,82,0.9753,3.82,0.24,1.25,0.08,38.3172,-76.4508
8594900,"Washington, DC",1924,2018,95,0.9362,3.33,0.28,1.09,0.09,38.8733,-77.0217
8631044,"Wachapreague, VA",1978,2018,41,0.9342,5.37,0.72,1.76,0.24,37.6078,-75.6858
8632200,"Kiptopeke, VA",1951,2018,68,0.995,3.69,0.31,1.21,0.1,37.1652,-75.9884
8635027,"Dahlgren, VA",1972,2018,47,0.7823,5.23,0.77,1.71,0.25,38.3198,-77.0366
8635150,"Colonial Beach, VA",1972,2010,39,0.885,4.89,0.97,1.6,0.32,38.2517,-76.96
8635750,"Lewisetta, VA",1970,2018,49,0.9602,5.38,0.61,1.76,0.2,37.9954,-76.4646
8637624,"Gloucester Point, VA",1950,2003,54,0.97,3.81,0.47,1.25,0.15,37.2467,-76.5
8637689,"Yorktown, VA",1950,2018,69,0.9566,4.76,0.35,1.56,0.12,37.2265,-76.4788
8638610,"Sewells Point, VA",1927,2018,92,0.9964,4.66,0.22,1.53,0.07,36.9467,-76.33
8638660,"Portsmouth, VA",1935,1987,53,1.0,3.76,0.45,1.23,0.15,36.8217,-76.2933
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975,2017,43,0.9961,5.92,0.72,1.94,0.23,36.9667,-76.1133
8651370,"Duck, NC",1978,2018,41,0.9938,4.62,0.68,1.52,0.22,36.1833,-75.7467
8652587,"Oregon Inlet Marina, NC",1977,2018,42,0.622,4.69,1.16,1.54,0.38,35.795,-75.5481
8656483,"Beaufort, NC",1953,2018,66,0.8826,3.1,0.35,1.02,0.11,34.72,-76.67
8658120,"Wilmington, NC",1935,2018,84,0.988,2.39,0.35,0.78,0.11,34.2275,-77.9536
8659084,"Southport, NC",1933,2008,76,0.4528,2.01,0.41,0.66,0.14,33.915,-78.0183
8661070,"Springmaid Pier, SC",1957,2018,62,0.8742,3.87,0.53,1.27,0.17,33.655,-78.9183
8665530,"Charleston, SC",1901,2018,118,0.8489,3.26,0.19,1.07,0.06,32.7808,-79.9236
8670870,"Fort Pulaski, GA",1935,2018,84,0.981,3.25,0.27,1.07,0.09,32.0367,-80.9017
8720030,"Fernandina Beach, FL",1897,2018,122,0.8711,2.11,0.18,0.69,0.06,30.6714,-81.4658
8720218,"Mayport, FL",1928,2018,91,0.9982,2.62,0.25,0.86,0.08,30.3982,-81.4279
8721120,"Daytona Beach, FL",1925,1983,59,0.5941,2.32,0.62,0.76,0.2,29.1467,-80.9633
8722670,"Lake Worth Pier, FL",1970,2018,49,0.4469,3.54,0.56,1.16,0.18,26.6128,-80.0342
8723170,"Miami Beach, FL",1931,1981,51,0.93,2.39,0.43,0.78,0.14,25.7683,-80.1317
8723214,"Virginia Key, FL",1931,2018,88,0.9348,2.84,0.21,0.93,0.07,25.7314,-80.1618
8723970,"Vaca Key, FL",1971,2018,48,0.9323,3.66,0.44,1.2,0.14,24.711,-81.1065
8724580,"Key West, FL",1913,2018,106,0.9914,2.42,0.14,0.8,0.05,24.5508,-81.8081
8725110,"Naples, FL",1965,2018,54,0.9814,2.85,0.44,0.94,0.14,26.1317,-81.8075
8725520,"Fort Myers, FL",1965,2018,54,0.9798,3.11,0.47,1.02,0.15,26.6477,-81.8712
8726520,"St. Petersburg, FL",1947,2018,72,0.9988,2.78,0.24,0.91,0.08,27.7606,-82.6269
8726724,"Clearwater Beach, FL",1973,2018,46,0.8978,3.68,0.57,1.21,0.19,27.9783,-82.8317
8727520,"Cedar Key, FL",1914,2018,105,0.8687,2.13,0.18,0.7,0.06,29.135,-83.0317
8728690,"Apalachicola, FL",1967,2018,52,0.9548,2.38,0.62,0.78,0.2,29.7267,-84.9817
8729108,"Panama City, FL",1973,2018,46,0.9782,2.43,0.61,0.8,0.2,30.1523,-85.6669
8729840,"Pensacola, FL",1923,2018,96,0.9887,2.4,0.23,0.79,0.07,30.4044,-87.2112
8735180,"Dauphin Island, AL",1966,2018,53,0.8562,3.74,0.58,1.23,0.19,30.25,-88.075
8737048,"Mobile State Docks, AL",1980,2018,39,0.3599,3.85,1.42,1.26,0.46,30.7083,-88.0433
8747437,"Bay Waveland, MS",1978,2018,41,0.9035,4.64,0.82,1.52,0.27,30.325,-89.325
8761724,"Grand Isle, LA",1947,2018,72,0.9606,9.08,0.42,2.98,0.14,29.2633,-89.9567
8761927,"New Canal, LA",1982,2018,37,0.6305,5.35,1.17,1.76,0.38,30.0272,-90.1133
8764311,"Eugene Island, LA",1939,1974,36,0.51,9.65,1.24,3.17,0.41,29.3717,-91.385
8770570,"Sabine Pass, TX",1958,2018,61,0.8721,5.86,0.74,1.92,0.24,29.7284,-93.8701
8771450,"Galveston Pier 21, TX",1904,2018,115,0.9986,6.51,0.22,2.13,0.07,29.31,-94.7933
8771510,"Galveston Pleasure Pier, TX",1957,2011,55,0.911,6.62,0.69,2.17,0.23,29.2853,-94.7894
8772440,"Freeport, TX",1954,2008,37,0.9984,4.43,1.05,1.45,0.34,28.9483,-95.3083
8774770,"Rockport, TX",1937,2018,82,0.7719,5.62,0.48,1.84,0.16,28.0217,-97.0467
8775870,"Corpus Christi, TX",1983,2018,36,0.9667,4.65,1.06,1.53,0.35,27.58,-97.2167
8778490,"Port Mansfield, TX",1963,2018,56,0.8949,3.19,0.73,1.05,0.24,26.5576,-97.4257
8779748,"South Padre Island, TX",1958,2018,61,0.5095,4.0,0.69,1.31,0.23,26.0731,-97.1675
8779750,"Padre Island, TX",1958,2006,49,0.8486,3.48,0.75,1.14,0.25,26.0683,-97.1567
8779770,"Port Isabel, TX",1944,2018,75,0.9632,4.0,0.33,1.31,0.11,26.0612,-97.2155
9410170,"San Diego, CA",1906,2018,113,0.9889,2.19,0.18,0.72,0.06,32.7142,-117.1736
9410230,"La Jolla, CA",1924,2016,93,0.9684,2.17,0.27,0.71,0.09,32.8669,-117.2571
9410580,"Newport Beach, CA",1955,1993,39,1.0,2.22,1.04,0.73,0.34,33.6033,-117.883
9410660,"Los Angeles, CA",1923,2018,96,1.0,1.01,0.23,0.33,0.08,33.7199,-118.2729
9410840,"Santa Monica, CA",1933,2018,86,0.9012,1.55,0.32,0.51,0.11,34.0083,-118.5
9411270,"Rincon Island, CA",1962,1990,29,0.92,3.22,1.66,1.06,0.54,34.3483,-119.443
9411340,"Santa Barbara, CA",1973,2018,46,0.6118,1.16,1.06,0.38,0.35,34.4031,-119.6928
9412110,"Port San Luis, CA",1945,2018,74,0.9615,0.93,0.38,0.31,0.12,35.1688,-120.7542
9413450,"Monterey, CA",1973,2018,46,1.0,1.57,0.82,0.52,0.27,36.605,-121.8881
9414290,"San Francisco, CA",1897,2018,122,0.999,1.96,0.18,0.64,0.06,37.8063,-122.4659
9414523,"Redwood City, CA",1974,2018,45,0.5283,2.47,1.62,0.81,0.53,37.5067,-122.21
9414750,"Alameda, CA",1939,2018,80,1.0,0.82,0.4,0.27,0.13,37.7717,-122.3
9415020,"Point Reyes, CA",1975,2018,44,0.9962,2.12,0.88,0.7,0.29,37.9961,-122.9767
9415144,"Port Chicago, CA",1976,2018,43,0.9921,1.98,1.5,0.65,0.49,38.056,-122.0395
9416841,"Arena Cove, CA",1978,2018,41,0.809,0.82,1.0,0.27,0.33,38.9146,-123.7111
9418767,"North Spit, CA",1977,2018,42,0.9899,4.87,0.91,1.6,0.3,40.7663,-124.2172
9419750,"Crescent City, CA",1933,2018,86,0.9767,-0.78,0.29,-0.26,0.09,41.745,-124.183
9431647,"Port Orford, OR",1977,2018,42,0.8765,0.09,1.11,0.03,0.37,42.739,-124.4983
9432780,"Charleston, OR",1970,2018,49,0.9897,1.1,0.73,0.36,0.24,43.345,-124.322
9435380,"South Beach, OR",1967,2018,52,1.0,1.72,0.69,0.57,0.22,44.625,-124.043
9437540,"Garibaldi, OR",1970,2018,49,0.4906,2.58,0.74,0.85,0.24,45.5545,-123.9189
9439011,"Hammond, OR",1983,2014,32,0.2796,-1.22,1.81,-0.4,0.59,46.2017,-123.945
9439040,"Astoria, OR",1925,2018,94,0.9876,-0.15,0.32,-0.05,0.11,46.2073,-123.7683
9440910,"Toke Point, WA",1973,2018,46,0.962,0.43,0.85,0.14,0.28,46.7075,-123.9669
9443090,"Neah Bay, WA",1934,2018,85,0.9783,-1.71,0.29,-0.56,0.09,48.3703,-124.6019
9444090,"Port Angeles, WA",1975,2018,44,0.9981,0.42,0.84,0.14,0.28,48.1247,-123.4411
9444900,"Port Townsend, WA",1972,2018,47,1.0,1.94,0.71,0.64,0.23,48.1129,-122.7595
9447130,"Seattle, WA",1899,2018,120,1.0,2.06,0.15,0.68,0.05,47.6026,-122.3393
9449424,"Cherry Point, WA",1973,2018,46,1.0,0.45,0.72,0.15,0.24,48.8633,-122.758
9449880,"Friday Harbor, WA",1934,2018,85,0.9882,1.2,0.27,0.39,0.09,48.5453,-123.0129
9450460,"Ketchikan, AK",1919,2018,100,0.9892,-0.37,0.22,-0.12,0.07,55.3318,-131.6262
9451600,"Sitka, AK",1924,2018,95,0.8759,-2.4,0.27,-0.79,0.09,57.0517,-135.342
9452210,"Juneau, AK",1936,2018,83,0.9659,-13.26,0.34,-4.35,0.11,58.2983,-134.412
9452400,"Skagway, AK",1944,2018,75,0.8251,-17.81,0.5,-5.84,0.16,59.45,-135.327
9453220,"Yakutat, AK",1988,2018,31,0.9726,-14.78,1.3,-4.85,0.43,59.5485,-139.7334
9454050,"Cordova, AK",1988,2018,31,0.9588,-0.39,1.2,-0.13,0.39,60.5583,-145.755
9454240,"Valdez, AK",1988,2018,31,0.9762,-8.76,1.32,-2.87,0.43,61.125,-146.362
9455090,"Seward, AK",1964,2018,55,0.8737,-2.74,0.64,-0.9,0.21,60.12,-149.4267
9455500,"Seldovia, AK",1964,2018,55,0.9618,-9.94,0.75,-3.26,0.25,59.4405,-151.7199
9455760,"Nikiski, AK",1973,2018,46,0.5543,-10.42,1.02,-3.42,0.33,60.6833,-151.398
9455920,"Anchorage, AK",1972,2018,47,0.8741,-0.96,1.04,-0.32,0.34,61.2375,-149.8904
9457292,"Kodiak Island, AK",1964,2018,55,0.7656,-9.97,0.85,-3.27,0.28,57.7303,-152.5139
9459450,"Sand Point, AK",1972,2018,47,0.991,1.22,0.9,0.4,0.3,55.3367,-160.502
9461380,"Adak Island, AK",1957,2018,62,0.9284,-2.63,0.39,-0.86,0.13,51.8633,-176.632
9462620,"Unalaska, AK",1957,2018,62,0.8686,-4.71,0.52,-1.54,0.17,53.8792,-166.5403
9463502,"Port Moller",1984,2017,34,0.4402,3.15,1.94,1.03,0.64,55.9857,-160.5739
9468756,"Nome, AK",1992,2018,27,0.854,3.12,2.92,1.02,0.96,64.4946,-165.4396
9497645,"Prudhoe Bay",1988,2018,31,0.9584,2.58,1.66,0.84,0.55,70.4114,-148.5318
9751401,"Lime Tree Bay, VI",1977,2018,42,0.8704,2.5,0.71,0.82,0.23,17.6947,-64.7538
9751639,"Charlotte Amalie, VI",1975,2018,44,0.8994,2.06,0.63,0.68,0.21,18.3358,-64.92
9755371,"San Juan, PR",1962,2018,57,0.9266,2.04,0.39,0.67,0.13,18.4592,-66.1164
9759110,"Magueyes Island, PR",1955,2018,64,0.9609,1.82,0.31,0.6,0.1,17.9701,-67.0464
